"chr"	"cl"	"feature_n"	"emp.pval"
"chr22"	"1Mb_16_120_16000000_50000000"	437	1
"chr22"	"1Mb_20_190_19000000_51000000"	1489	0.0909090909090909
"chr22"	"1Mb_9_36_16000000_50000000"	260	1
"chr22"	"1Mb_7_21_18000000_28000000"	177	1
"chr22"	"1Mb_10_45_19000000_51000000"	688	0.272727272727273
"chr22"	"1Mb_10_45_37000000_46000000"	801	0.0909090909090909
"chr22"	"1Mb_2_1_16000000_17000000"	23	1
"chr22"	"1Mb_7_21_33000000_50000000"	237	0.454545454545455
"chr22"	"500kb_6_15_18000000_23500000"	75	1
"chr22"	"500kb_8_28_25000000_28500000"	102	1
"chr22"	"1Mb_3_3_19000000_21000000"	168	1
"chr22"	"1Mb_7_21_24000000_51000000"	520	0.0909090909090909
"chr22"	"100kb_58_1649_37000000_42700000"	544	0.0909090909090909
"chr22"	"100kb_42_861_42800000_46900000"	258	0.0909090909090909
"chr22"	"500kb_2_1_17000000_17500000"	23	1
"chr22"	"500kb_8_28_47000000_50500000"	132	1
"chr22"	"500kb_6_15_33000000_35500000"	105	0.0909090909090909
"chr22"	"500kb_4_6_22000000_23500000"	41	1
"chr22"	"500kb_2_1_18000000_18500000"	34	1
"chr22"	"100kb_20_190_25000000_26900000"	50	1
"chr22"	"100kb_20_190_27000000_28900000"	52	0.636363636363636
"chr22"	"500kb_3_3_19000000_20000000"	103	1
"chr22"	"500kb_3_3_20500000_21500000"	65	1
"chr22"	"1Mb_5_10_24000000_32000000"	373	0.181818181818182
"chr22"	"1Mb_2_1_36000000_51000000"	147	0.0909090909090909
"chr22"	"100kb_21_210_37000000_39000000"	266	0.0909090909090909
"chr22"	"100kb_37_666_39100000_42700000"	278	0.0909090909090909
"chr22"	"100kb_26_325_42800000_45300000"	126	0.909090909090909
"chr22"	"100kb_16_120_45400000_46900000"	132	0.0909090909090909
"chr22"	"100kb_4_6_17000000_17300000"	7	1
"chr22"	"100kb_6_15_17400000_17900000"	16	1
"chr22"	"500kb_6_15_47000000_49500000"	25	1
"chr22"	"500kb_2_1_50000000_50500000"	107	0.0909090909090909
"chr22"	"100kb_19_171_33700000_35500000"	11	1
"chr22"	"100kb_11_55_33000000_35900000"	94	0.0909090909090909
"chr22"	"50kb_26_325_22700000_23950000"	19	1
"chr22"	"50kb_14_91_22000000_22650000"	22	0.909090909090909
"chr22"	"100kb_13_78_25700000_26900000"	32	1
"chr22"	"100kb_7_21_25000000_25600000"	18	1
"chr22"	"50kb_25_300_27000000_28200000"	39	0.181818181818182
"chr22"	"50kb_15_105_28250000_28950000"	13	0.909090909090909
"chr22"	"500kb_1_0_20000000_20000000"	28	1
"chr22"	"500kb_2_1_19000000_19500000"	75	0.363636363636364
"chr22"	"500kb_1_0_21500000_21500000"	12	1
"chr22"	"500kb_2_1_20500000_21000000"	53	1
"chr22"	"100kb_40_779_29000000_32900000"	298	0.0909090909090909
"chr22"	"100kb_10_45_24000000_24900000"	75	1
"chr22"	"100kb_10_45_37000000_37900000"	82	0.454545454545455
"chr22"	"100kb_11_55_38000000_39000000"	184	0.0909090909090909
"chr22"	"100kb_22_231_39100000_41200000"	150	0.0909090909090909
"chr22"	"100kb_15_105_41300000_42700000"	128	0.0909090909090909
"chr22"	"50kb_17_136_42800000_43800000"	78	0.0909090909090909
"chr22"	"50kb_35_595_43600000_45350000"	49	1
"chr22"	"50kb_20_190_45400000_46350000"	74	0.0909090909090909
"chr22"	"50kb_12_66_46400000_46950000"	58	0.0909090909090909
"chr22"	"100kb_2_1_17200000_17300000"	1	1
"chr22"	"100kb_2_1_17000000_17100000"	6	0.727272727272727
"chr22"	"50kb_6_15_17650000_17900000"	5	1
"chr22"	"50kb_6_15_17400000_17950000"	11	1
"chr22"	"100kb_8_28_47000000_47700000"	18	1
"chr22"	"100kb_22_231_47800000_49900000"	7	1
"chr22"	"100kb_6_15_50000000_50500000"	31	0.818181818181818
"chr22"	"100kb_4_6_50600000_50900000"	76	0.0909090909090909
"chr22"	"50kb_21_210_34550000_35550000"	6	1
"chr22"	"50kb_17_136_33700000_34500000"	5	1
"chr22"	"50kb_8_28_35600000_35950000"	31	0.0909090909090909
"chr22"	"50kb_14_91_33000000_33650000"	63	0.0909090909090909
"chr22"	"50kb_13_78_23350000_23950000"	17	1
"chr22"	"50kb_13_78_22700000_23300000"	2	1
"chr22"	"50kb_7_21_22350000_22650000"	3	1
"chr22"	"50kb_7_21_22000000_22300000"	19	0.818181818181818
"chr22"	"50kb_16_120_25700000_26950000"	28	1
"chr22"	"50kb_10_45_26200000_26650000"	4	1
"chr22"	"50kb_8_28_25300000_25650000"	15	0.545454545454545
"chr22"	"50kb_6_15_25000000_25250000"	3	1
"chr22"	"50kb_15_105_27000000_27700000"	19	0.818181818181818
"chr22"	"50kb_10_45_27750000_28200000"	20	0.0909090909090909
"chr22"	"50kb_11_55_28450000_28950000"	4	1
"chr22"	"50kb_4_6_28250000_28400000"	9	0.727272727272727
"chr22"	"50kb_7_21_19650000_19950000"	38	0.0909090909090909
"chr22"	"50kb_13_78_19000000_19600000"	37	0.818181818181818
"chr22"	"100kb_25_300_29000000_31400000"	193	0.0909090909090909
"chr22"	"100kb_15_105_31500000_32900000"	105	0.454545454545455
"chr22"	"50kb_6_15_24000000_24250000"	33	0.636363636363636
"chr22"	"50kb_14_91_24300000_24950000"	42	1
"chr22"	"50kb_11_55_37000000_37500000"	20	1
"chr22"	"50kb_9_36_37550000_37950000"	62	0.181818181818182
"chr22"	"50kb_8_28_38000000_38350000"	88	0.0909090909090909
"chr22"	"50kb_14_91_38400000_39050000"	96	0.0909090909090909
"chr22"	"50kb_28_378_39900000_41250000"	71	0.363636363636364
"chr22"	"50kb_16_120_39100000_39850000"	79	0.0909090909090909
"chr22"	"50kb_15_105_41300000_42000000"	70	0.0909090909090909
"chr22"	"50kb_15_105_42050000_42750000"	58	0.545454545454545
"chr22"	"50kb_12_66_43050000_43800000"	36	0.454545454545455
"chr22"	"50kb_5_10_42800000_43000000"	42	0.0909090909090909
"chr22"	"50kb_21_210_44350000_45350000"	37	1
"chr22"	"50kb_14_91_43600000_44300000"	12	1
"chr22"	"50kb_9_36_45950000_46350000"	21	0.0909090909090909
"chr22"	"50kb_11_55_45400000_45900000"	53	0.0909090909090909
"chr22"	"50kb_7_21_46400000_46700000"	48	0.0909090909090909
"chr22"	"50kb_5_10_46750000_46950000"	10	0.0909090909090909
"chr22"	"50kb_3_3_17200000_17300000"	1	1
"chr22"	"50kb_2_1_17000000_17050000"	6	0.181818181818182
"chr22"	"50kb_3_3_17800000_17900000"	1	0.909090909090909
"chr22"	"50kb_3_3_17650000_17750000"	4	0.909090909090909
"chr22"	"50kb_3_3_17550000_17950000"	11	0.818181818181818
"chr22"	"50kb_4_6_47000000_47150000"	13	0.727272727272727
