chr	j3utr.BED	j5utr.BED	jdown.BED	jexon.BED	jinter_no.BED	jintron.BED	jprom.BED	jprom12.BED	jprom23.BED
chr1	476	53	57	607	1126	1340	4730	415	254
chr10	150	24	13	347	556	869	1846	143	86
chr11	260	31	22	319	582	670	2797	277	180
chr12	281	31	27	324	656	777	2749	254	140
chr13	71	11	4	127	292	364	902	72	22
chr14	90	21	17	226	381	538	1582	138	105
chr15	180	13	15	266	383	525	1399	174	66
chr16	105	21	7	189	332	459	1819	208	74
chr17	262	37	30	346	452	736	2647	320	223
chr18	51	1	5	118	239	347	840	62	25
chr19	272	15	30	379	403	448	2997	386	282
chr2	310	47	34	613	1056	1232	3330	294	193
chr20	156	8	11	142	336	334	1322	145	72
chr21	40	7	12	85	146	240	485	59	36
chr22	129	18	11	210	174	241	985	107	51
chr3	234	30	13	280	662	1075	2827	210	114
chr4	107	22	17	151	563	723	1937	110	80
chr5	215	37	11	318	765	872	2406	194	109
chr6	248	349	18	471	871	997	2314	215	88
chr7	258	34	19	299	525	802	2220	204	86
chr8	170	18	11	198	614	808	1772	103	101
chr9	117	11	16	219	469	636	1882	158	84
