chr	j3utr.BED	j5utr.BED	jdown.BED	jexon.BED	jinter_no.BED	jintron.BED	jprom.BED	jprom12.BED	jprom23.BED
chr1	451	43	69	604	1082	1353	4827	390	239
chr10	145	25	15	322	542	829	1896	167	93
chr11	259	34	19	343	518	699	2827	277	162
chr12	313	24	34	275	662	823	2707	250	151
chr13	71	10	3	161	278	383	864	60	35
chr14	101	24	13	233	351	543	1570	171	92
chr15	186	7	15	273	382	509	1431	147	71
chr16	108	30	6	220	306	461	1771	237	75
chr17	263	33	21	370	419	699	2697	342	209
chr18	52	2	3	101	256	382	798	61	33
chr19	265	15	31	400	398	456	2992	399	256
chr2	274	59	26	625	1131	1247	3283	287	177
chr20	178	4	13	187	316	346	1288	120	74
chr21	33	4	20	94	193	215	467	57	27
chr22	147	23	8	204	197	262	936	89	60
chr3	220	38	14	285	692	1116	2766	201	113
chr4	121	26	9	172	522	737	1927	116	80
chr5	214	39	7	350	747	895	2390	185	100
chr6	202	376	10	482	872	998	2333	210	88
chr7	286	35	14	307	530	839	2158	188	90
chr8	139	15	7	217	659	813	1725	122	98
chr9	122	9	19	216	441	675	1894	136	80
